id,name,street,updated_at,created_at
1,Boelter Hall,"420 Westwood Plaza, Los Angeles, CA 90095"
2,Janss Steps,"UCLA Janss Steps, Los Angeles, CA 90095"
3,Bruin Plaza,"6 Bruin Walk, Los Angeles, CA 90095"
4,Engr IV,"420 Westwood Plaza, Los Angeles, CA 90095"
5,Engr VI,"404 Westwood Plaza, Los Angeles, CA 90095"
6,Bunche Hall,"315 Portola Plaza, Los Angeles, CA 90095"
7,Court of Sciences,"617 Charles E Young Dr E, Los Angeles, CA 90095"
8,John Wooden,"221 Westwood Plaza, Los Angeles, CA 90095"
9,Pauley Pavilion,"301 Westwood Plaza, Los Angeles, CA 90095"
10,Kerckhoff,"308 Westwood Plaza, Los Angeles, CA 90095"
11,Sunset Village,"330 De Neve Drive, Los Angeles, California 90095"
12,Rieber Hall,"Rieber Hall, UCLA, De Neve Dr, Los Angeles, CA 90024"
13,Hedrick Hall,"250 De Neve Dr, Los Angeles, CA 90024"
