id,name,address_id,description,updated_at,created_at
1,Rice Room (Boelter Hall 6764),1,
2,UCLA ACM (Boelter Hall 2763),1,
3,ESUC Lounge (Boelter Hall 5800),1,
4,Boelter Penthouse (Boelter Hall 8500),1,"Take the elevator by SeasCafe to the 8th floor."
5,,2,
6,,3,
7,Tesla Room (Engr IV 53-125),4,
8,Maxwell Room (Engr IV 57-124),4,
9,Mong Learning Center (Engr VI 180),5,
10,Bunche Hall 1209B,6,
11,,7,
12,John Wooden Gold Room,8,
13,,9,
14,Kerckhoff Art Gallery,10,
15,Sunset Village Learning Center,11,
16,UCLA MakerSpace (Rieber Hall),12,
17,Hedrick Fireside Lounge,13,
