id,code,major,abbreviation,department,department_abbreviation,school,division,updated_at,created_at
1,008V,African American Studies B.A.,AFR AMER,African American Studies,AF AMER,LS,SS
2,0030,American Indian Studies B.A.,AMER IND,American Indian Studies,AM IND,LS,SS
3,0064,Anthropology B.A.,ANTHRO,Anthropology,ANTHRO,LS,SS
4,0065,Anthropology B.S.,ANTH-BS,Anthropology,ANTHRO,LS,SS
5,00A1,Architectural Studies B.A.,ARCH STD,Architecture and Urban Design,ARCH&UD,AA,AA
6,0090,Art B.A.,ART,Art,ART,AA,AA
7,0093,Art History B.A.,ART HIST,Art History,ART HIS,LS,HU
8,0453,Individual Field of Concentration B.A.,IND FLD,Arts and Architecture-General,AA-GEN,AA,AA
9,0100,Asian American Studies B.A.,ASIA AM,Asian American Studies,ASIA AM,LS,SS
10,0442,Asian Humanities B.A.,ASIA HUM,Asian Languages and Cultures,ASIA LC,LS,HU
11,00CW,Asian Languages and Linguistics BA,ASIAN LL,Asian Languages and Cultures,ASIA LC,LS,HU
12,0443,Asian Religions B.A.,ASIA REL,Asian Languages and Cultures,ASIA LC,LS,HU
13,0162,Chinese B.A.,CHINESE,Asian Languages and Cultures,ASIA LC,LS,HU
14,0480,Japanese B.A.,JAPANESE,Asian Languages and Cultures,ASIA LC,LS,HU
15,0818,Korean B.A.,KOREAN,Asian Languages and Cultures,ASIA LC,LS,HU
16,002E,Atmospheric and Oceanic Sciences B.S.,A&O SCIS,Atmospheric and Oceanic Sciences,A&O SCI,LS,PS
17,00E3,Atmospheric and Oceanic Sciences/Mathematics B.S.,AOS/MATH,Atmospheric and Oceanic Sciences,A&O SCI,LS,PS
18,0589,"Atmospheric, Oceanic, and Environmental Sciences B.S. (pre-18W)",AO&ES,Atmospheric and Oceanic Sciences,A&O SCI,LS,PS
19,00DQ,Climate Science B.S.,CLMT SCI,Atmospheric and Oceanic Sciences,A&O SCI,LS,PS
20,0288,Bioengineering B.S.,BIOENGR,Bioengineering,BIOENGR,EN,EN
21,0294,Chemical Engineering B.S.,CHM ENGR,Chemical and Biomolecular Engineering,CHM&BE,EN,EN
22,0111,Biochemistry B.S.,BIOCHEM,Chemistry and Biochemistry,CHEM,LS,PS
23,0153,Chemistry B.S.,CHEM,Chemistry and Biochemistry,CHEM,LS,PS
24,0155,Chemistry/Materials Science B.S.,CHEM-MAT,Chemistry and Biochemistry,CHEM,LS,PS
25,0158,General Chemistry B.S.,GEN CHEM,Chemistry and Biochemistry,CHEM,LS,PS
26,0626,Chicana and Chicano Studies B.A.,CHN STDS,Chicana and Chicano Studies,CHICANO,LS,SS
27,0300,Civil Engineering B.S.,CIV ENGR,Civil and Environmental Engineering,C&EE,EN,EN
28,0169,Classical Civilization B.A.,CLAS CIV,Classics,CLASSIC,LS,HU
29,0414,Greek B.A.,GREEK,Classics,CLASSIC,LS,HU
30,0625,Greek and Latin B.A.,GRK&LATN,Classics,CLASSIC,LS,HU
31,0495,Latin B.A.,LATIN,Classics,CLASSIC,LS,HU
32,0181,Communication Studies B.A.,COM STDS,Communication Studies,COMM ST,LS,SS
33,0192,Comparative Literature B.A.,COMP LIT,Comparative Literature,COM LIT,LS,HU
34,00A3,Computational and Systems Biology B.S.,C&S BIOL,Computational and Systems Biology,C&S BIO,LS,LF
35,00A4,Pre-Computational and Systems Biology,PRE CS B,Computational and Systems Biology,C&S BIO,LS,LF
36,0193,Computer Science and Engineering B.S.,C S&ENGR,Computer Science,COM SCI,EN,EN
37,0201,Computer Science B.S.,COM SCI,Computer Science,COM SCI,EN,EN
38,0207,Design | Media Arts B.A.,DESMA,Design | Media Arts,DESMA,AA,AA
39,001C,Earth and Environmental Science B.A.,E&E SCI,"Earth, Planetary, and Space Sciences",EPS SCI,LS,PS
40,049G,Engineering Geology B.S.,ENGR GEO,"Earth, Planetary, and Space Sciences",EPS SCI,LS,PS
41,0402,Geology B.S.,GEOLOGY,"Earth, Planetary, and Space Sciences",EPS SCI,LS,PS
42,0398,Geology/Engineering Geology B.S.Ê(Pre-15 Summer),GEO/ENGR,"Earth, Planetary, and Space Sciences",EPS SCI,LS,PS
43,0401,Geology/Paleobiology B.S. (Pre-15 Summer),GEO/PALE,"Earth, Planetary, and Space Sciences",EPS SCI,LS,PS
